n0,n1,1-Pi0,Effect,S0,S1,Power,Power SD,FDR,FDR SD,Accuracy,Accuracy SD,TPR,TPR SD,FPR,FPR SD,F1,F1 SD
5,5,0.25,0.5,0.5,0.5,5.333333333333333e-05,0.00013597385369580758,0.0,0.0,0.5000266666666666,6.79869268478963e-05,5.333333333333333e-05,0.00013597385369580758,0.0,0.0,0.00010662401705984274,0.00027183897180289407
5,5,0.25,0.5,0.5,1.0,1.3333333333333333e-05,7.180219742846006e-05,0.03333333333333333,0.17950549357115014,0.5000044444444444,3.823255674240746e-05,1.3333333333333333e-05,7.180219742846006e-05,4.4444444444439546e-06,2.3934065809484044e-05,2.6656004264960686e-05,0.0001435469760664935
5,5,0.25,0.5,1.0,0.5,2.6666666666666667e-05,9.977753031397176e-05,0.03333333333333333,0.1795054935711501,0.5000111111111111,5.1878300133010974e-05,2.6666666666666667e-05,9.977753031397176e-05,4.4444444444439546e-06,2.393406580948404e-05,5.331200852992137e-05,0.00019947527051973564
5,5,0.25,0.5,1.0,1.0,1.3333333333333333e-05,7.180219742846007e-05,0.0,0.0,0.5000066666666666,3.590109871422607e-05,1.3333333333333333e-05,7.180219742846007e-05,0.0,0.0,2.6656004264960686e-05,0.00014354697606649356
5,5,0.25,1.0,0.5,0.5,0.0008666666666666666,0.0005940445175985457,0.0,0.0,0.5004333333333333,0.000297022258799285,0.0008666666666666666,0.0005940445175985457,0.0,0.0,0.0017311286769175027,0.00118567729335442
5,5,0.25,1.0,0.5,1.0,0.0002533333333333334,0.0002825282680055612,0.016666666666666666,0.08975274678557507,0.5001244444444445,0.00014061592906272036,0.0002533333333333334,0.0002825282680055612,4.4444444444439546e-06,2.3934065809484044e-05,0.0005063682216654873,0.0005645697977218453
5,5,0.25,1.0,1.0,0.5,0.00016,0.00022150996967781536,0.03333333333333333,0.1795054935711501,0.5000777777777777,0.00011298421172342009,0.00016,0.00022150996967781536,4.4444444444439546e-06,2.393406580948404e-05,0.000319850743422322,0.0004427812491622478
5,5,0.25,1.0,1.0,1.0,5.333333333333333e-05,0.00013597385369580758,0.0,0.0,0.5000266666666666,6.79869268478963e-05,5.333333333333333e-05,0.00013597385369580758,0.0,0.0,0.00010662401705984274,0.00027183897180289407
5,5,0.25,1.5,0.5,0.5,0.007573333333333334,0.0019097876554446805,0.0,0.0,0.5037866666666665,0.0009548938277223447,0.007573333333333334,0.0019097876554446805,0.0,0.0,0.015025690426059458,0.0037604681789377655
5,5,0.25,1.5,0.5,1.0,0.0013866666666666667,0.000513636274246886,0.008333333333333333,0.044876373392787536,0.5006911111111111,0.0002579022687897794,0.0013866666666666667,0.000513636274246886,4.4444444444439546e-06,2.3934065809484044e-05,0.0027689354831761533,0.0010246761568668168
5,5,0.25,1.5,1.0,0.5,0.0012400000000000002,0.00063118935352238,0.0047619047619047615,0.025643641938735723,0.5006177777777777,0.00031171370213510145,0.0012400000000000002,0.00063118935352238,4.4444444444439546e-06,2.393406580948404e-05,0.002476071318998628,0.0012587848749585997
5,5,0.25,1.5,1.0,1.0,0.00017333333333333336,0.00026699979192667714,0.0,0.0,0.5000866666666667,0.00013349989596332383,0.00017333333333333336,0.00026699979192667714,0.0,0.0,0.0003464641321728703,0.0005336360505273159
5,15,0.25,0.5,0.5,0.5,0.002813333333333333,0.0007553071487076558,0.05757936507936507,0.10607860374744509,0.5013777777777778,0.0003922710073531799,0.002813333333333333,0.0007553071487076558,5.7777777777771414e-05,0.00010712862927282331,0.005608880583747959,0.0015025720205992738
